,Title,Platform,Userscore,Comment,Username
11,Metroid Prime,GameCube,10,"Positives- Graphics: The graphics in metroid prime are not only top notch for the gamecube, but top notch for any 6th generation home console.- Gameplay: Metroid Prime immerses you into a large 3D environment for exploration and puzzle solving.  The game is played at a first person perspective, but it isn't a first person shooter, it is more in the vein of first person adventure game.Positives- Graphics: The graphics in metroid prime are not only top notch for the gamecube, but top notch for any 6th generation home console.- Gameplay: Metroid Prime immerses you into a large 3D environment for exploration and puzzle solving.  The game is played at a first person perspective, but it isn't a first person shooter, it is more in the vein of first person adventure game. The boss battles are excellently executed, and there is a ton of information to collect throughout the game, via scan logs and upgrades.- Sound: Metroid prime presents an alienlike sound track that perfectly fits the mood of the game.- Controls: The controls in Metroid Prime work over all very well throughout the game. The lack of manual aiming without the R buttons is solved via the use of the lock on feature. Negatives-Replay Value: One might not be compelled to play this prolonged adventure again, although if they do they will realize just how excellent the game was when they'd played it the first time. There is also alot of backtracking in the game, but this is usually for the access of new areas and upgrades.10/10",Borg
12,Grand Theft Auto III,PlayStation2,10,play this absolutely epic truly the greatest playstation 2 game ohnestly endless fun great atmosphre. fun missions and for its time good graphics. if i had to complain it would be the character models a bit fuzzy,highlifewest
13,Super Mario Odyssey,Switch,10,"I am just lost for words. The spirit of Super Mario 64 and Super Mario Sunshine lives on in this game. It was as if I stepped into a portal to my childhood. I highly recommend the ""single joy-con in each hand"" motion control scheme. The motions controls feel so intuitive and really enhance the gameplay. Cappy serves as a great sidekick, with his boomerang and capture abilities providing aI am just lost for words. The spirit of Super Mario 64 and Super Mario Sunshine lives on in this game. It was as if I stepped into a portal to my childhood. I highly recommend the ""single joy-con in each hand"" motion control scheme. The motions controls feel so intuitive and really enhance the gameplay. Cappy serves as a great sidekick, with his boomerang and capture abilities providing a refreshing take on the classic 3D Mario Mechanics. Visually, it is a gorgeous game. It maintains 60 fps consistently in both mobile and docked. There seems to be a variety of different environments in this game, unlike Super Mario Galaxy and Sunshine. While those games followed a common theme, Odyssey takes influence from Super Mario 64 and Super Mario World in that there is a (Spoilers) desert world, ghost world. tropical world, metro world, etc. The music is phenomenal. I recommend that everyone use a headset to truly appreciate it. I had chills running down my spine once I heard the theme from the Switch Presentation Trailer for Odyssey. No other franchise has made as big of an impact on the gaming industry as Mario. He is the Micky Mouse of gaming. This game can be enjoyed by anyone. Enthusiast gamers. Father/Mother playing with his or her kids. Teenagers. Anyone. I had lost faith in Nintendo during the Wii U generation. They have absolutely blown me away with putting out masterpieces such as Breath of the Wild and Super Mario Odyssey. These 2 games make the Switchh worth it. I must also add that this year has been incredible for gaming. Besides Mario and Zelda, we had Persona 5, Cuphead, Horizon Zero Dawn, Nier, Nioh, Divinity. Instead of debating Game of the Years. We should declare 2017 as the Year of the Games. I hope everyone enjoys these games as much as I have.",K-LAWN
14,Halo: Combat Evolved,Xbox,10,"This is my attempt at a helpful NO SPOILER review.With popularity you get hate. Halo has gained many fans over the years, but it has also gained many haters. The reasons that I have heard that people do not like Halo are its originality, itâ",Seriously
15,NFL 2K1,Dreamcast,10,"I don't see why the user score is so low. Amazing passing, very addicting and fun! egyfwafkuerafhbelsufjbfjlhes,fbkjhsbfjkhesgfbdksfghjbdsfbhkdjsfhbdjhfsduofjdsh",MeDoBaseball
16,Half-Life 2,PC,10,"I just replayed Half-Life 2 again about a month ago.  Even in 2011, seven years after its initial release, I am still reminded why Half-Life 2 is one of the greatest first-person shooters of all time.  Not the greatest, but definitely one of them.I think the greatest strength in Half-Life 2 (gameplay-wise) is the level design.  Over the course of I believe 14 levels, you see anI just replayed Half-Life 2 again about a month ago.  Even in 2011, seven years after its initial release, I am still reminded why Half-Life 2 is one of the greatest first-person shooters of all time.  Not the greatest, but definitely one of them.I think the greatest strength in Half-Life 2 (gameplay-wise) is the level design.  Over the course of I believe 14 levels, you see an incredible variation in locale, level structure, lighting, and gameplay.  This is complimented by such a flux in mood, intensity, and immersion that you can't help but to just be enthralled by it.For instance, the entire first 3 chapters of the game is a slow build-up to an intense climax.  You start as a fugitive, running across the rooftops of City 17 to escape the Combine Overwatch.  You are allowed to take a short, 10-minute breather in a safe-haven, then thrust back into the bowels of the city's sewer system, and finally driving your own airboat through the canals.  It's such a gradual build you hardly notice it, until you reach the end of the climax, discover you've been holding your breath for the past 30 seconds, and that you've been maintaining a white-knuckled grip on your mouse this whole time.  And that's the first 3 chapters.After this you are treated to some incredibly creepy locations, and some more intense escapes/shootouts.  All the atmosphere is enhanced with some pretty incredible performances both animation- and voice-acting-wise, even if you consider that this is 2011.And wow, the voice acting.  These are some of the most incredible video game characters to this date.  Immensely believable, highly emotional, subtly expressive, the characters help suck you right into the story and world that Valve created, and you could almost be fooled into thinking they are actually talking to you...Oh and that reminds me, the story.  Okay, so it's not laid out for you word-for-word what's going on, or what relevance all these characters have in terms of the story from the instance you set foot into the game.  I have read a lot of reviews and seen a lot of complaints.  Yes, Valve did not flesh it out in its entirety in the first chapter.  No, you pretty much don't have a clue what kind of influence the combine and the G-Man are right from the word go.  But to be honest, I don't care.  When it comes to story-telling, I personally enjoy the opportunity to discover the story for myself, and not just have it told to me if I were a five-year-old.  There are some pretty subtle hints laying around concerning backstory, main storyline, and intertwining character plots.  If you look for them, you'll find that this is actually some interesting sci-fi, more driven by characters (which it should be) than by what's necessary to pluck a plot twist out of your ass.  So overall, the story ended up being a plus in my opinion.Other than that, the graphics are still good, though a bit dated, physics are awesome, and the gravity gun continues to be the best weapon in the history of gaming,  Go Valve!  Now I just can't wait until my Portal 2 pre-load finishes...",Duderoth
17,BioShock,Xbox360,10,"Original and refreshing, has an amazing storyline aswell as an amazing atmosphere and setting. Enjoyable combat, maybe a little bit repetitive for some, the game paces well too.",pasifik
18,GoldenEye 007,Nintendo64,10,"I spent so much time with this game its insane. I don't even know how many playthroughs and missions and multiplayer and hundreds of hours. All I know is that for me, this game was revolutionary are absolutely brilliant. Don't let ripoffs of the name on inferior titles deceive you...this game was outstanding and a masterpiece. Way ahead of its time. It's assuredly a classic, and I'm glad II spent so much time with this game its insane. I don't even know how many playthroughs and missions and multiplayer and hundreds of hours. All I know is that for me, this game was revolutionary are absolutely brilliant. Don't let ripoffs of the name on inferior titles deceive you...this game was outstanding and a masterpiece. Way ahead of its time. It's assuredly a classic, and I'm glad I can give it the 10 / 10 it undoubtedly deserves.",sympathy4saren2
19,Uncharted 2: Among Thieves,PlayStation3,10, this is the best game this gen i have just beat the games and it's amazing it was about 14 hours for me i really take my time to find all the tres i def say get this game if you have a ps3 if you dont get a ps3 and get this game.,TrentN
20,Resident Evil 4,GameCube,10,"Que recuerdos me trae RE4... cuando lo jugué por primera vez desconocía la saga completamente. Que importaba eso, estaba ante un juegazo. La historia no tenía el mejor guión de la historia pero la trama te absorbía y no podías parar de jugar. Gráficamente era brutal, en 2005 había pocos juegos tan detallados. La jugabilidad, muco mejor que la de los primeros resident, era exquisita. NuncaQue recuerdos me trae RE4... cuando lo jugué por primera vez desconocía la saga completamente. Que importaba eso, estaba ante un juegazo. La historia no tenía el mejor guión de la historia pero la trama te absorbía y no podías parar de jugar. Gráficamente era brutal, en 2005 había pocos juegos tan detallados. La jugabilidad, muco mejor que la de los primeros resident, era exquisita. Nunca me había adentrado en un juego así antes, fue una experiencia única. Hoy día sigue siendo uno de los mejores juegos que he jugado.",CPD98
21,The Orange Box,Xbox360,10," Best deal in gaming history. Not a huge half-life fan, but i still played it thourgh and was pleased. Portal was excreidibly fun the first time as well, but TF2 is the gift that keeps giving. The only problem is Pc gamers are getting more weapons are services for TF2. Remember the console gamers, Valve!",IanH
22,Batman: Arkham City,PlayStation3,9,"It is a great game, but not perfect by any means. The combat is obviously the best part, with so much going on but always an absolute joy to play. The story and graphics are all good, as well as the detective elements. The only problems are, first the load times. Any time you retry or load a new area it can take up to 30 seconds just to load up. It can get frustrating when you play on hardIt is a great game, but not perfect by any means. The combat is obviously the best part, with so much going on but always an absolute joy to play. The story and graphics are all good, as well as the detective elements. The only problems are, first the load times. Any time you retry or load a new area it can take up to 30 seconds just to load up. It can get frustrating when you play on hard and must redo some parts to have to wait so long to load up. The biggest and most notable problem is the platforming. So many times I would look at a ledge or something I had just grappled to it and would not let me for some reason and I would spam the R1 button, because that is your best bet of getting anywhere, and it would spin me around and grapple something not even on the screen. It can be very frustrating. Also I would be standing next to a wall or ledge and it would not let me hang on it or grab on to it for no reason. They could have done a better job with that but great with EVERYTHING else besides a few minor errors and one major one.....great job rocksteady",fandango89
23,Tekken 3,PlayStation,10,"This game is awesome. Released in 1998 and still better than the most 1x1 fighting games I've been playing since than. Getting a new Fighter for each time that you finish the arcade with a different character and getting a new final video, with awesome graphics (comparing with other PS1 games) everytime you finish it gave me the will to replay it several times. Incredible gameplay.ThisThis game is awesome. Released in 1998 and still better than the most 1x1 fighting games I've been playing since than. Getting a new Fighter for each time that you finish the arcade with a different character and getting a new final video, with awesome graphics (comparing with other PS1 games) everytime you finish it gave me the will to replay it several times. Incredible gameplay.This game totally rocks. Better of the Tekken serie, for me.",JoaoRodarte
24,Mass Effect 2,Xbox360,10,"Well, every game has it's detractors,but seriously? ""Oh noes, they dun stole my RPG elements! It is awl dumb-down and stoopid now!"" blissfully forgetting through their misty-eyed watercolour memories that Mass Effect could be muscled through with sheer gaming skill and an unleveled Shepard. Being able to be beaten by skill alone, an RPG does not make. The inventory was awful, it turned theWell, every game has it's detractors,but seriously? ""Oh noes, they dun stole my RPG elements! It is awl dumb-down and stoopid now!"" blissfully forgetting through their misty-eyed watercolour memories that Mass Effect could be muscled through with sheer gaming skill and an unleveled Shepard. Being able to be beaten by skill alone, an RPG does not make. The inventory was awful, it turned the whole game into a puzzle of managing your inventory. I'm glad to see it gone. To finish up, the romance options are much improved, instead of humans only or a 106-year old archeologist.",Plumbum
25,The Legend of Zelda: Twilight Princess,GameCube,10," As soon as I first popped Twilight Princess into my Gamecube I fell in love with it. The Hyrule of this game is arguably my favorite out of all of the games, as its huge expanses and beautiful visuals make it truly epic. While the story is somewhat odd at first and the side quest system is a little lacking, the locales, gameplay, and amazing visuals really complete the game and turn it As soon as I first popped Twilight Princess into my Gamecube I fell in love with it. The Hyrule of this game is arguably my favorite out of all of the games, as its huge expanses and beautiful visuals make it truly epic. While the story is somewhat odd at first and the side quest system is a little lacking, the locales, gameplay, and amazing visuals really complete the game and turn it into an excellent title. While it is good on the Wii, the game just seems made for the Gamecube. The mirrored world and odd controls of the Wii version, as well as the subtle but annoying (annoying to a true Zelda fan, that is) fact that Link is right handed in that incarnation, make the Gamecube the best system to play this amazing game on.",JesseR
26,The Elder Scrolls V: Skyrim,Xbox360,10,"Just overall the best game I've ever played, they've truly outdone themselves on this game. It is art and will always be known as one of the greatest rpgs ever created during this era of games. I can see my self easily putting 200-300 hours in Skyrim over the next few years until TES 6 is released.",Terexin
27,Half-Life,PC,10," THIS game has Extraordinary Graphics,Very Beautiful Gameplay,Movie like Sequences, and Awesome Sound! I hope people who play this game will last a life time in there hearts because this game still ROCKs all others ever made for the PC Valve i love your Work! please keep kickin ass on the best game series you have made in the Years and in the years to come!",mikeg
28,The Legend of Zelda: The Wind Waker,GameCube,10," Okay, so maybe it doesn't deserve a perfect score. Sure there's like two bits where i got stuck or kind of bored but the sheer wall of content that is enjoyable and intriguing to the very end is just exceptional, if i could 9.8.",JonS
29,Gran Turismo,PlayStation,10, A game you can just keep coming back to. A classic that I am proud to own!,RobG.
30,Metal Gear Solid 2: Sons of Liberty,PlayStation2,10,"The most memorable game to date on PS2. Amazing story and snake is and still to this day remains a badass. Great gameplay for a 2001 game, the visual setting still satisfys, not to mention every mission had an unforgettable twist.  10/10",xThePezx
31,Grand Theft Auto Double Pack,Xbox,10, This one of those rare games where it is really fun to just drive around and not do the missions.,JonathanG.
32,Baldur's Gate II: Shadows of Amn,PC,10,"Quite possibly the best game ever made! A deep, compelling experience. To say this is now an 11 year old game is astonishing, as nobody has managed to make a better game yet! The only other contender for best RPG would arguably be Planescape Torment, another amazing game but with a less ""epic"" story and more personal one. Baldur's Gate is a game that, if you can get past the (by todaysQuite possibly the best game ever made! A deep, compelling experience. To say this is now an 11 year old game is astonishing, as nobody has managed to make a better game yet! The only other contender for best RPG would arguably be Planescape Torment, another amazing game but with a less ""epic"" story and more personal one. Baldur's Gate is a game that, if you can get past the (by todays standards) steep learning curve, hard to use interface and unforgiving nature will become one of the best games you've ever played.",Turing2634
33,Grand Theft Auto: San Andreas,PlayStation2,10,"This is one of my favourite games of all time, it really capture los angeles and the california area i reckon, the gameplay was awesome and the story surpasses any other game made during its time, 10/10 yes, grove street for life.",Xerxes
34,Grand Theft Auto: Vice City,PlayStation2,10,"I love the 80s and I love Grand Theft Auto. I cum in my pants when I play this. It's that good. Great soundtrack, great story, great graphics for its time and great gameplay. **** you if you didn't like it when it came out",Justinavery7074
35,LittleBigPlanet,PlayStation3,10,"Not as big little planet, can be as little note to users. For me it is one of the best games of this generation.The story perhaps, could be improved ... But what this game is a masterpiece.In these times, innovate for me is the best. Many do not dare, play it safe .. SHOOTERS.In order to ensure sales ...instead there are companies, such as ""Media Molecule"" that take risks, andNot as big little planet, can be as little note to users. For me it is one of the best games of this generation.The story perhaps, could be improved ... But what this game is a masterpiece.In these times, innovate for me is the best. Many do not dare, play it safe .. SHOOTERS.In order to ensure sales ...instead there are companies, such as ""Media Molecule"" that take risks, and eventually make a great game.As ""little big planet""",Dabuten_09
36,The Legend of Zelda Collector's Edition,GameCube,10,"This game offers you almost the whole Zelda experience in one game. Each game responds exactly like they do from other consoles. If you ever find this collection anywhere, get it! You won't be dissappointed!",Zilcell
37,Red Dead Redemption,PlayStation3,10,"Beautiful, stylish and engrossing.  If you ever had the yearning to be a cowboy in the old west then Rockstar have got all the bases covered.  From duels in the streets to poker in a bar in Mexico to watching the sun set ove rthe mountains there is every activity you could ever want to enjoy in the game.  Story wise the tale of John Marston is engrossing and you feel deeply connected toBeautiful, stylish and engrossing.  If you ever had the yearning to be a cowboy in the old west then Rockstar have got all the bases covered.  From duels in the streets to poker in a bar in Mexico to watching the sun set ove rthe mountains there is every activity you could ever want to enjoy in the game.  Story wise the tale of John Marston is engrossing and you feel deeply connected to the character throughout the game.  This is one of Rockstar's best moments and one which has gameplay for many months to come.",JunkmanUK
38,Gran Turismo 3: A-Spec,PlayStation2,10,This game is the best and will always be the best. It challenges your patience as well as your skill.,JoeM.
39,Halo 2,Xbox,10,"Halo CE came out and it was awesome and I couldn't think it could get better. But it did, Halo 2 will forever be in my mind the greatest FPS of all time. The campaign was well thought out and a great continuation of the first. And the multiplayer was so addicting. Its the one game I have played until that sad day when the shut down the servers. I will miss you Halo 2 MP.",Itztoxin
40,The Legend of Zelda: A Link to the Past,GameBoyAdvance,10," Out of all of the pre-Ocarina Zelda games, A Link to the Past is definitely the best. The depth of the game, including both its Light and Dark world, as well as the many secrets and items found, make it one of the best Zelda titles there is. The sheer number of dungeons and difficulty of the game make it one of the longer Zelda games I",JesseR
41,The Legend of Zelda: Majora's Mask,Nintendo64,10,"One cannot help but compare Majora's Mask to Ocarina of Time as it is a direct sequel. Naturally, this was extremely hard to live up to and that is the most likely reason for the more negative opinion. Personally I found the game absolutely brilliant. As a sequel to Ocarina of Time it took the basic features of it and enhanced and twisted them into a darker and more perilous setting -One cannot help but compare Majora's Mask to Ocarina of Time as it is a direct sequel. Naturally, this was extremely hard to live up to and that is the most likely reason for the more negative opinion. Personally I found the game absolutely brilliant. As a sequel to Ocarina of Time it took the basic features of it and enhanced and twisted them into a darker and more perilous setting - Termina. Right from the beginning we can see that the game is darker, with the enigmatic travelling mask salesman and the mystery surrounding Majora's Mask. The whole mask concept is really what makes the game stand out, adding a multitude of side quests and new gameplay as well as making the game feel a lot more dark and mysterious. As many other reviews have said, the game was hard but for me that' part of what made it so great - the increased difficulty not only adds to the challenge but makes the game feel more dark and twisted when compared with Ocarina of Time. Overall I just feel that Majora's Mask captured the feel of Ocarina of Time and put a unique take on it making the game feel very fresh and just plain awesome.",DomF
42,The Last of Us,PlayStation3,10,"I don't think I have ever played a game like this. Saying this game was great would be an understatement. The game has an amazing story and is also helped by its incredible gameplay and characters. You take the role of Joel in a post-apocalyptic world, your job is to take Ellie (who I believe is the character of this generation) to a rebel group ""the Fireflies"". During your journey youI don't think I have ever played a game like this. Saying this game was great would be an understatement. The game has an amazing story and is also helped by its incredible gameplay and characters. You take the role of Joel in a post-apocalyptic world, your job is to take Ellie (who I believe is the character of this generation) to a rebel group ""the Fireflies"". During your journey you will find characters that you can love and also hate. Not only Joel and Ellie's love grow, your love for these characters will also grow.  If you can play one game in your life PLAY THIS!!!",jakenelson
43,Madden NFL 2003,PlayStation2,4," This game is the most overraded football game out there. madden 2004 is way better then this crap and 2k3 kick its butt in sales. Bad graphics, and still dumb commentary.",BryanM.
44,The Last of Us Remastered,PlayStation4,10,"Since I am a huge fan of The Last of Us, it was a treat experiencing, in my opinion, the best and most touching storyline of any game I've ever played again, and now with even better graphics. this game was, and still is a crystal clear 10/10.",Deadspacelover1
45,Portal 2,PC,9,"with the minor issues related to the ""console"" error i have found this game enjoyable, the only reason im giving this a 9 is due to Â£27.99 worth of DLC on the first day plus no free items as promised in the preorder potato sack. im worried its just valve making cash out of somthing to fund EP3....we will never know..",MrPicard
46,Metal Gear Solid V: The Phantom Pain,XboxOne,10,"Even if you have not played MGS before, play this one. If you like Splinter Cell, Far Cry, Hitman, Deus Ex then you will surely like this as it's better than all of themThe open world nature gives you unparalleled freedom in approaching missions as you see fit. It's not a question of guns blazing vs stealth, it's more like you have 10 stealth approaches and 10 guns blazing approaches,Even if you have not played MGS before, play this one. If you like Splinter Cell, Far Cry, Hitman, Deus Ex then you will surely like this as it's better than all of themThe open world nature gives you unparalleled freedom in approaching missions as you see fit. It's not a question of guns blazing vs stealth, it's more like you have 10 stealth approaches and 10 guns blazing approaches, at least.The base building and research components are so well developed. you really feel like you can direct an army of people to help you achieve goals the way you want to achieve them.The variety in guns and other tools boggles the mind.Game of the year guaranteed.",Silverbow
47,World of Goo,Wii,10," Entertaining puzzle game which is different everything else I've been able to find. Multiplayer with more than 2 people can be frustrating but I believe that's due to communication, not game design. The goo balls are pretty cute in a static way and best of all, the humour on the signboards leaves you to figure out the level yourself, making it more challenging. Great game.",Schtef
48,BioShock Infinite,PlayStation3,10,"It's so different to the first Bioshock, yet so similar at the same time. It does everything right, great story, amazing graphics and combat, and if anybody's having second thoughts about buying it because they're worried about Elizabeth being annoying, that's not an issue at all. She adds so much to an already fantastic game. Just buy it already!",knox170
49,Final Fantasy IX,PlayStation,10," The most underrated Final Fantasy to have ever been made. I admit, the attention to character art during normal gameplay isn't the best (better than FF7 though) but the backdrops and sceneries are stunning. The storyline is captivating, surprising you with unexpected plot twists that intertwine with each other flawlessly. Each character also has his/her own story which leads you to a The most underrated Final Fantasy to have ever been made. I admit, the attention to character art during normal gameplay isn't the best (better than FF7 though) but the backdrops and sceneries are stunning. The storyline is captivating, surprising you with unexpected plot twists that intertwine with each other flawlessly. Each character also has his/her own story which leads you to a deeper understanding of them and how they have come to be where they are during the game. A masterpiece that was unfortunately released too late as by this time, the PS2 had already been in the market for a good year or so I believe, which diverted everyone's attention from the game. To anyone thinking of trying the game out, I can almost guarantee you won't be disappointed",RaxsahW
50,Call of Duty: Modern Warfare 2,PlayStation3,9,"8.8 out of 10 (rounded off to 9).The sequel to the game that revolutionised much of the fps-multiplayer experience had a lot of hype to live up to, and many of the points, it did.The story continued much of the same cinematic drama from the first game, and made a lot of changes to the multiplayer. The multiplayer now has more perks, and more killstreaks to choose from, which is8.8 out of 10 (rounded off to 9).The sequel to the game that revolutionised much of the fps-multiplayer experience had a lot of hype to live up to, and many of the points, it did.The story continued much of the same cinematic drama from the first game, and made a lot of changes to the multiplayer. The multiplayer now has more perks, and more killstreaks to choose from, which is fun. I have found some balancing issues with the game, and so have others, with much complaining on the grenade-launchers and ""akimbo"" shotguns as secondary weapons, for example.This doesn't stop Modern Warfare 2 from being a great and over-all fun experience, which in many ways tops the original Modern Warfare game. So if that's what you're after, this game wont disappoint you.",Exceon
51,Tony Hawk's Pro Skater 4,PlayStation2,10," Another great sequel for a quickly evolving series. They've added the spine transfer which allows ya to line up with where you're about to land once airbourne. The career mode is now much more challenging, and longer (190 goals). It's also open ended. The career mode isn't limited to 2 minute bursts like before. It's surprisingly much more enjoyable this way. Another great sequel for a quickly evolving series. They've added the spine transfer which allows ya to line up with where you're about to land once airbourne. The career mode is now much more challenging, and longer (190 goals). It's also open ended. The career mode isn't limited to 2 minute bursts like before. It's surprisingly much more enjoyable this way. Levels are also a little more realistic this time around. On the negative side of things, a couple of the goals where Tony gets to take a break from skating (tennis and dodge monkey poo) have unbelievably bad animation. Going from great next gen graphics, to completely horrendous is a little shocking. Thankfully, the bad animation is only there for 2 of the 190 goals, so it's a pretty minor. A great game!",ZiggyStardust
52,Devil May Cry,PlayStation2,10,"Very fun and old school game. it still is the best in the series and the game has lots of soul. Very nice environments, character and enemy designs, good music, really cant go wrong with this game.",vantz
53,Call of Duty 4: Modern Warfare,PlayStation3,9,Pure greatness at it's best but there are still lag and balancing problems and the story gets a bit bare but...no spoilers here great game but the minor flaws keep it form being a 9/10 game on a percent scale i would give it a 98%,jeffharrison
54,Madden NFL 2002,PlayStation2,10," Every year Madden gets better and better. The game play is excellent, and the Franchise Mode, with the Texans is just awesome. Culpepper to Moss can't be stopped.",Mikey
